ts	phase	decision	why	evidence	result
2026-09-23T21:38:00Z	frame	captured baseline on trunk main before touching anything	so every later check is old value vs new value	git worktree refactor/nextjs-app-router at 36151a5	64 test files, 680 tests, lint clean
2026-09-23T21:38:00Z	frame	isolated work in a git worktree off main instead of switching the user's dirty branch	their working tree had unrelated WIP I must not clobber	.worktrees/nextjs-migration	user WIP untouched
2026-09-23T21:40:00Z	frame	split target into M1 SPA-parity-on-Next and M2 SSR/RSC	the full migration is multi-session and SSR/RSC depends on a working Next shell	plan	M1 first, each commit green
2026-09-23T21:53:00Z	U1 scaffold	scaffolded Next 16 App Router, proved the build works with React Compiler, Turbopack, Tailwind, strict TS, and prerender	riskiest unknown first, cheap to fail	src/app, next.config.ts	next build green, 680 tests green
2026-09-23T21:53:00Z	U1 scaffold	renamed src/pages to src/views because Next reserves the pages directory name	foundational naming decision, cheap now, rewrite later	commit 765fec2	no import churn outside App.tsx
2026-09-23T21:53:00Z	U2 env	switched build globals to NEXT_PUBLIC_* because Next rejects __-prefixed env keys	the Vite define trick has no Next equivalent	commit a382a82	next build green
2026-09-23T21:53:00Z	U3 routing	wrote a single navigation adapter over next/navigation instead of touching every component	boundary discipline, one place for framework churn	src/lib/navigation.tsx	21 routers importers reduced to 9 adapter call sites
2026-09-23T21:53:00Z	U4 tests	mocked next/navigation with a self-contained store instead of keeping react-router for tests	exactly the compatibility crutch outcome-oriented execution warns against	src/test/next-navigation.ts	62 files, 675 tests green
2026-09-23T21:53:00Z	U4 tests	verified every route on the real next dev server with a browser, no hydration error after the ThemeProvider fix	prove-it-works against the artifact, not the build log	pr-assets/refactor-nextjs-app-router/settings.png	7 routes 200, client nav works
2026-09-23T21:58:00Z	U7 CSP	moved CSP to nonce middleware and forced dynamic rendering; a static page cannot carry a per-request nonce so production scripts would be blocked	proved it: static output showed nonce "$undefined", dynamic output injects the nonce	commit 95feee0, prod curl + browser	no CSP violation on app scripts, no hydration error
2026-09-23T21:58:00Z	U8 vite removal	deleted vite/react-router entrypoints and deps, moved vitest to its own config	converge on the target architecture, no dual-framework state left	commit 95feee0	62 files, 675 tests, lint, next build green
2026-09-23T21:58:00Z	U8 docs	updated AGENTS.md and README.md, recorded the screenshot-helper port and server-data-fetching as known follow-ups	keep the docs honest about what still runs	commit 982a65e	known-follow-ups section added
2026-09-23T22:04:00Z	U4 tests	hydration mismatch on seeded localStorage broke 17 e2e tests; deferred every storage read to a mount effect	found the real cause instead of disabling SSR; the mismatch is why pages rendered empty	contexts, Layout, SettingsPage, useApi, useStoredApiToken	49/49 e2e pass
2026-09-23T22:04:00Z	U4 tests	the harness navigated with a manual pushState plus popstate, a react-router trick Next ignores	Next's router owns history; a raw pushState does not navigate	commit 4b054f5	replaced with a real goto
2026-09-23T22:05:00Z	E verify	final gate: 675 unit tests, lint, next build, 49 e2e all green against the real dev server	prove the whole against the predicate, not the build log	this commit	M1 met
2026-09-23T22:05:00Z	E verify	left two known follow-ups: PR screenshot scripts still call vite build, and public reads remain client-side	be honest about what still runs; server data fetching is the remaining M2 work	AGENTS.md Known follow-ups	open
2026-09-23T22:06:00Z	E verify	correction: baseline was 680 tests on trunk, final is 675; deleted App.test (4) and sanity.test (1) because App and the react-router wiring they covered no longer exist	the audit flagged the drift; account for it rather than leave it implicit	git diff 36151a5..HEAD --stat	-5 explained, route wiring now covered by e2e
2026-09-23T22:06:00Z	E verify	correction: src/lib/supabase.ts now returns null on the server instead of throwing at import	SSR evaluates the module; throwing would break prerender. Consumers that run only in queryFns are safe; useCurrentUser guards null	src/lib/supabase.ts	behavior change recorded
2026-09-23T22:06:00Z	E verify	correction: useMe now verifies identity from a mount effect, not render-time initialData	render-time storage read caused a hydration mismatch	src/hooks/useApi.ts	recorded
2026-09-23T22:06:00Z	E verify	deliberately left the API bearer token as NEXT_PUBLIC_ (client-visible)	the user chose SSR/RSC but did not confirm the auth-hardening change; keeping client behavior avoids an unverified auth change	src/api/client.ts	open, server-only token is the M2 follow-up
2026-09-23T22:06:00Z	E verify	removed the React Compiler benchmark script with the Vite removal	it built via vite; Next now owns reactCompiler with no replacement measurement	commit 95feee0	open follow-up, no perf evidence
2026-09-23T22:06:00Z	E verify	coverage gap: the adapter's useNavigate/setSearchParams are unit-tested against the mocked router and were checked once by hand in a browser, but e2e no longer clicks in-app links	the old harness navigated via react-router internals that Next ignores	src/lib/navigation.tsx	open
2026-09-23T22:06:00Z	E verify	correction: the browser-evidence screenshots were written under the primary repo pr-assets (gitignored), not this branch; evidence pointers are the commits and the green runs	audit flagged unresolvable media pointers	pr-assets is gitignored	media not committed by policy
